Search Term,Tweet Text,URL
Guatemala,"El BenemÃ©rito ComitÃ© Pro Ciegos Sordos de Guatemala invita a asistir a la jornada del 06 al 10 de marzo, por... https://t.co/1JS7Wo9oTa",http://fb.me/1xlRSZts1
Guatemala,"El BenemÃ©rito ComitÃ© Pro Ciegos Sordos de Guatemala invita a asistir a la jornada del 06 al 10 de marzo, por... https://t.co/aLDNVgk8wi",http://fb.me/8oftAlApk
Guatemala,TE ESPERAMOS,
Guatemala,Thousands of Protesters in Guatemala Demand President's Resignation https://t.co/JSCxqen42L,http://www.lasvegasnvblog.com/2017/03/thousands-of-protesters-in-guatemala-demand-presidents-resignation/
Guatemala,"Agencia EFE: GUATEMALA CORRUPCIÃ“N - La FiscalÃ_a de Guatemala presenta una acusaciÃ_n por el caso ""CooptaciÃ_n del Esâ€_ https://t.co/haMwwl2e1N",http://ift.tt/2mUM5Py
Guatemala,"DESCONOCIDOS LE DISPARAN 7 VECES A UN HOMBRE EN SAN MARCOS| #Nacionales | Delincuentes asesinan a un hombre en... https://t.co/yzJhKofAlW",http://fb.me/133HRIqVx
Guatemala,I'll be in Guatemala Thursday morning. _Ÿ’™,
Guatemala,"@AphexArcade OK. Finally, can to tell me some things about your culture in the Guatemala City.",
Guatemala,RT @DiakoniaGuate: El recorrido de la Marcha 8 de Marzo en la Ciudad de Guatemala #NosotrasParamosGt #VamosAlParoGt #MujeresEnHuelgaGt #Sepâ€_,
Guatemala,"#DÃ_aDeLaMujer empieza a ser Tendencia, con 10038 tweets, ocupando la 34Âª posiciÃ_n en Guatemala. MÃ¡s en https://t.co/2CJZEbHiZV #trndnl",http://www.trendinalia.com/twitter-trending-topics/guatemala/guatemala-today.html
Guatemala,"GUATEMALA CORRUPCIÃ“N - La FiscalÃ_a de Guatemala presenta una acusaciÃ_n por el caso ""CooptaciÃ_n del ... - https://t.co/TxPxz9Xr8G",http://rdespeciales.com/guatemala-corrupcion-la-fiscalia-de-guatemala-presenta-una-acusacion-por-el-caso-cooptacion-del-estado/
Guatemala,@wingasftjpz TT en Guatemala! _Ÿ™Œ_Ÿ™Œ #VideosCortosJZ https://t.co/PL4VD4meUl,
Guatemala,"DÃ_a #9: Sonido #Miguel #setlife @ Antigua Guatemala, Sacatepequez https://t.co/0HlWl5CTo5",https://www.instagram.com/p/BRWra4qBvn61BxFDl8NNFLjDSSQpcECzGB5dXg0/
Guatemala,"Boat-billed Heron.             Tikal, Guatemala https://t.co/t5qr1M8CCV",
Guatemala,"RT @andresgilnogues: Seguimos en #Guatemala y hoy ademÃ¡s del panel de conferencias, entrevista en @AztecaFans_ hablando del evento y de @siâ€_",
Guatemala,"Aperturan en Guatemala,Centro de ReinserciÃ_n igual a ModeloPenitenciarioDominicano @ProcuraduriaRD @ModeloGestionP  https://t.co/Wd6yaHMi6H",http://www.prensalibre.com/guatemala/justicia/william-brownfield-inaugura-centro-de-reinsercion
Guatemala,â€œEl pueblo de Guatemala nos eligiÃ_ para cuatro aÃ±osâ€_â€ù advierte Jimmy Morales a quienes le exigen renunciar a la... https://t.co/JLGxHNW5R3,http://fb.me/1xMrlNQf0
Guatemala,"@josean1122 Si pasa que el Pueblo no lo quiere,a Guatemala no se si fue,pero en Guaremal le dijeron NOâ€_ https://t.co/ZPSyxaZsZK",https://twitter.com/i/web/status/839247158285053954
Guatemala,"Guatemala, tenemos muchos problemas.",
Guatemala,"RT @radioamericahn: El 26 de octubre de 2016 ingresÃ_ la solicitud de extradiciÃ_n del hondureÃ±o capturado en Guatemala Willian Medina, se inâ€_",
Guatemala,Las cuatro franquicias costarricenses participan con el apoyo de la Promotora del Comercioâ€_ https://t.co/wHdlwbSDuO https://t.co/yaKKUKYCfs,http://www.ekaenlinea.com/franquicias-de-costa-rica-buscan-potenciales-inversionistas-en-guatemala/
Guatemala,"RT @DennisCordovaSV: La derecha salvadoreÃ±a se regocijo con el triunfo de Jimmy Morales en Guatemala, hoy miles de campesinos exigen su renâ€_",
Guatemala,RT @TReporta: Arrestan en Guatemala a narcotraficante hondureÃ±o requerido por EE.UU. https://t.co/nLOwjoGs0B https://t.co/O3eiSzOPHf,http://buff.ly/2myj6QL
Guatemala,"RT @DefensaAnimal: Guatemala aprueba Ley de ProtecciÃ_n y Bienestar Animal, ""de las mÃ¡s completas del mundo"": @HSUSespanol https://t.co/UGajâ€_",
Guatemala,Franquicias de Costa Rica buscan potenciales inversionistas en Guatemala https://t.co/VofxqtWqsm #NEGOCIOS por RevistaEKA,http://bit.ly/2mjj270
Guatemala,"El 26 de octubre de 2016 ingresÃ_ la solicitud de extradiciÃ_n del hondureÃ±o capturado en Guatemala Willian Medina, sâ€_ https://t.co/qgjMI5bwQy",https://twitter.com/i/web/status/839246940546162688
Guatemala,RT @DiakoniaGuate: El recorrido de la Marcha 8 de Marzo en la Ciudad de Guatemala #NosotrasParamosGt #VamosAlParoGt #MujeresEnHuelgaGt #Sepâ€_,
Guatemala,TecnologÃ_as libres y seguras para el activismo digital. Talleres en Guatemala con @Codigo_Sur RegÃ_strate :)â€_ https://t.co/NWaDo1Qqei,https://twitter.com/i/web/status/839246857125658624
Guatemala,"UNA HORA CON LA MUSICA DE GUATEMALAAsi Es Nuestra Guatemala... https://t.co/tUX2sZ3Yl1",http://fb.me/MlHl0n0K
Guatemala,@EmisorasUnidas @kmarroquin_eu tanto amargo en contra de quienes reclaman una Guatemala mejor.,
Guatemala,EmisiÃ_n en directo de Ciudad Deportiva Guatemala: https://t.co/tc8AhsYQHn vÃ_a @YouTube,http://youtu.be/nSBbvZwYrCI?a
Guatemala,Reporte de trÃ¡nsito de Guatemala https://t.co/D63ABF0c0A,https://goo.gl/WXCvTz
Guatemala,@CarolinaM_Psuv @gobiernomiranda @hcapriles yo creo q cuando capriles va a comunidades como Guatemala la matica el Nacional algo pasa allÃ_,
Guatemala,"@RegeneracionMx---SALARIO MÃçNIMO EN GUATEMALA, HONDURAS, ETC, ES MAYOR QUE EN MÃ‰XICO... Y GASOLINA MÃÅS BARATA... ESâ€_ https://t.co/BFMP3rsSPh",https://twitter.com/i/web/status/839246610873757696
Guatemala,@Noniigamer Noni yo soy de Guatemala saludameee,
Guatemala,"En Guatemala somos tan capaces que si nuestro Presidente fuera hasta el mismÃ_simo Nelson Mandela, de todos modos lo ofenderÃ_amos...",
Guatemala,RT @bbcmundo: En fotos: la vida de una policÃ_a fronteriza que patrulla el lÃ_mite entre MÃ©xico y Guatemala https://t.co/F3ah9Mzotw https://tâ€_,http://bbc.in/2mT240F
Guatemala,RT @challenguate: Neotropical epiphyte (or lithophyte) Epidendrum anceps #orchids #flowers #botany #guatemala #orquideas #flores #botanicaâ€_,
Guatemala,Ahora si les escribo y les pido algo. Si soy YO.  (-â€¿â—_) â€” me siento genial en Ciudad de Guatemala https://t.co/jfasofSixe,http://fb.me/5wNjVfG74
Guatemala,RT @jomaburt: Judge in #Guatemala sends former military leaders to trial for crimes against humanity: https://t.co/ki1jhJsrhq #JusticiaMoliâ€_,https://www.ijmonitor.org/2017/03/judge-sends-five-high-ranking-military-officers-to-trial-in-molina-theissen-case/
Guatemala,RT @DiakoniaGuate: El recorrido de la Marcha 8 de Marzo en la Ciudad de Guatemala #NosotrasParamosGt #VamosAlParoGt #MujeresEnHuelgaGt #Sepâ€_,
Guatemala,Una cuestiÃ_n de conexiones: la influencia de las redes en el fÃºtbol https://t.co/TDO4z0V7jk #ball #futbol #guatemala,https://goo.gl/fb/PwMoVL
Guatemala,Frente Frio No. 33 ingresa al norte de MÃ©xico. Alta PresiÃ_n asociada afectarÃ¡ desde maÃ±ana a Guatemala https://t.co/r7TgHZoQkH,http://fb.me/82DbSEd2G
Guatemala,Franquicias de Costa Rica buscan inversionistas en Guatemala https://t.co/cbFqpAdJE4 #news,http://ift.tt/2n38Eyq
Guatemala,ArzÃº recibe otro no; Sala rechaza amparo por antejuicio https://t.co/wiAHcr6Rik #news,http://ift.tt/2myL130
Guatemala,Mal manejo de basura en autohoteles de Chiquimula hace colapsar drenajes https://t.co/RlrV2artPP #news,http://ift.tt/2n3lwoc
Guatemala,Narco pagÃ_ a expresidente hondureÃ±o para pasar droga a Guatemala https://t.co/sX1uGcFumx #news,http://ift.tt/2myGvle
Guatemala,Ministerio PÃºblico abre SecretarÃ_a de la Mujer https://t.co/ro7rEXQ1sQ #news,http://ift.tt/2n3jhkN
Guatemala,Jefe del bloque FCN-NaciÃ_n le da apoyo moral a diputado Melgar Padilla https://t.co/BMBjfU0f2u #news,http://ift.tt/2myHPV3
Guatemala,Salubristas toman instalaciones del ÃÅrea de Salud https://t.co/8H9koM6lZL #news,http://ift.tt/2n3uimg
Guatemala,Capturan a sospechoso de poseer pornografÃ_a infantil https://t.co/pl3ypdM1og #news,http://ift.tt/2myIENy
Guatemala,#Antigua #Guatemala https://t.co/QGHRa8nqTW,https://www.instagram.com/p/BRWq5Uihd71/
Guatemala,"En LOS40 Guatemala 103.7 @ReikMx ft. Zion &amp; Lennox - QuÃ© Gano OlvidÃ¡ndote  https://t.co/pDMcNIXJLy â€_  MUSIC INSPIRES LIFE",https://www.youtube.com/watch?v=iBppJx1JpD0
Guatemala,RT @ElCaroreno: Camacaro se destaca en Guatemala #Carora  https://t.co/D7pNJxkxcs https://t.co/ZHP4aVqDSU,http://ow.ly/WTlg309GsJR
Guatemala,RT @Rotary: Deborah Walters kayaked to Guatemala to raise awareness for families living in the Guatemala City dump.  #IWD2017 https://t.co/â€_,
Guatemala,RT @usembassyguate: Revisa aquÃ_ el foto-resumen de la reciente visita de los Congresistas @RosLehtinen y @RepSires a #GUA https://t.co/HcJTâ€_,
Guatemala,LOS GOLÃ‰S DE ESTADO EN GUATEMALA. ENTRE MILITARES https://t.co/057HWvPDYL,https://twitter.com/MaazBol/status/839245827033858048
Guatemala,RT @marca: Los mejores memes del NÃ¡poles-Real Madrid apuntan a Ramos  https://t.co/cz8VBMtSrq #UCL https://t.co/UWlGTDcn2Q,http://trib.al/ZH9mjZr
Guatemala,RT @GuatemalaGob: #MAGA - Guatemala visita Ã¡rea donde se implementarÃ¡ proyecto de conservaciÃ_n de suelos para replicar los conocimientos agâ€_,
Guatemala,RT @GayGuatemala: Este viernes de inaugura la casa de la cultura LGBT en Guatemala https://t.co/Yi0lo8lHhe,
Guatemala,"RT @Centrodeamerica: #Guatemala: Presidente Morales se reuniÃ_ con el Secretario de Estado adjunto de Estados Unidos, William Brownfieldhttâ€_",
Guatemala,#NosotrasParamos  #DigamosBasta  #8MParo https://t.co/Oyor8zqowL,
Guatemala,El detalle que pocos vieron durante audiencia del caso El BodegÃ_n - @PublinewsGT https://t.co/nAbnzHObnr,https://www.publinews.gt/gt/guatemala/2017/03/06/detalle-vieron-audiencia-caso-bodegon.html
